,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
1009,kalabo,zm,-15.0,22.67,51.66,71.0,0.0,3.04
1013,kabalo,cd,-6.05,26.92,65.61,70.0,0.0,4.94
1014,aljezur,pt,37.31,-8.8,59.5,100.0,68.0,15.79
1018,yakima,us,46.6,-120.51,75.2,23.0,1.0,5.82
1021,kirensk,ru,57.78,108.12,57.43,59.0,68.0,7.52
1023,kaeo,nz,-35.1,173.78,57.69,96.0,92.0,23.85
1024,winslow,us,51.94,-0.88,60.8,93.0,92.0,8.05
1028,bathsheba,bb,13.22,-59.52,78.8,83.0,40.0,20.8
1029,hasaki,jp,35.73,140.83,73.4,60.0,75.0,5.82
1037,kamaishi,jp,39.28,141.86,66.2,68.0,20.0,2.24
1039,buloh kasap,my,2.55,102.76,77.0,94.0,75.0,4.7
1040,grand gaube,mu,-20.01,57.66,68.0,88.0,75.0,5.82
1041,aguada de pasajeros,cu,22.38,-80.85,77.0,83.0,68.0,5.82
1044,altay,cn,47.83,88.13,57.6,41.0,0.0,2.48
1048,aquiraz,br,-3.9,-38.39,80.6,83.0,40.0,8.05
1050,den helder,nl,52.96,4.76,55.4,100.0,75.0,6.93
1053,junction city,us,39.03,-96.83,89.6,66.0,20.0,17.22
1059,susehri,tr,40.16,38.09,41.58,93.0,48.0,1.92
1060,san andres,co,13.32,122.68,82.18,100.0,64.0,9.19
1063,kamenka,ru,53.19,44.05,43.2,52.0,8.0,10.65
1068,porto velho,br,-8.75,-63.87,75.2,94.0,20.0,2.59
1069,vestmannaeyjar,is,63.44,-20.27,44.1,90.0,0.0,12.44
1071,madona,lv,56.85,26.22,52.39,73.0,68.0,4.16
1075,libreville,ga,0.39,9.45,78.8,88.0,75.0,11.41
1078,toora-khem,ru,52.47,96.11,56.7,50.0,0.0,3.04
1079,bilibino,ru,68.06,166.44,41.5,65.0,76.0,7.07
1080,kurush,ru,41.28,47.83,42.76,100.0,92.0,1.03
1091,leo,bf,11.1,-2.1,76.32,76.0,8.0,6.73
1098,batticaloa,lk,7.71,81.69,84.96,95.0,36.0,6.73
1100,petatlan,mx,17.52,-101.27,87.8,70.0,20.0,5.82
1101,gizo,sb,31.8,34.94,69.8,77.0,20.0,5.82
1103,avera,pf,33.19,-82.53,73.4,94.0,1.0,3.36
1106,copiapo,cl,-27.37,-70.33,50.0,81.0,0.0,3.36
1113,dutlwe,bw,-23.98,23.93,42.12,62.0,0.0,3.15
1115,worland,us,44.02,-107.96,60.8,55.0,20.0,11.41
1118,vila velha,br,-3.71,-38.6,80.6,83.0,40.0,8.05
1119,zhaotong,cn,27.34,103.71,58.15,97.0,100.0,3.15
1120,rypefjord,no,70.63,23.67,41.0,93.0,75.0,18.34
1126,wichita falls,us,33.91,-98.49,93.2,38.0,1.0,18.34
1131,derzhavinsk,kz,51.1,66.31,52.56,100.0,92.0,15.57
1132,barra patuca,hn,15.8,-84.28,82.98,86.0,76.0,12.21
1134,leninskoye,ru,54.82,82.85,64.4,48.0,0.0,15.66
1135,mathbaria,bd,22.29,89.96,86.68,92.0,48.0,4.5
1136,alta floresta,br,-9.87,-56.08,81.19,55.0,68.0,3.6
1137,hami,cn,42.84,93.51,75.69,39.0,0.0,6.4
1138,gold coast,au,-28.0,153.41,68.0,40.0,0.0,6.93
1139,belaya gora,ru,68.54,146.19,41.85,71.0,20.0,11.65
1149,sao miguel do araguaia,br,-13.28,-50.16,66.51,87.0,0.0,2.48
1150,carballo,es,43.21,-8.69,55.4,100.0,0.0,1.92
1152,nara,ml,34.68,135.8,75.2,73.0,20.0,4.7
1154,gao,ml,16.28,-0.04,85.32,45.0,8.0,10.65
1155,baijiantan,cn,45.63,85.18,73.81,27.0,0.0,6.06
1157,selkirk,ca,50.15,-96.88,60.8,67.0,75.0,14.99
1160,taoudenni,ml,22.68,-3.98,85.77,24.0,24.0,11.21
1164,tursunzoda,tj,38.51,68.23,68.0,60.0,0.0,4.47
1166,saint-raymond,ca,46.89,-71.84,69.8,88.0,20.0,8.97
1168,oktyabrskoye,ru,56.73,85.44,70.83,40.0,24.0,9.08
1175,port moresby,pg,-9.47,147.16,84.2,74.0,75.0,18.34
1176,sucua,ec,-2.46,-78.17,64.08,91.0,68.0,3.71
1182,svetlaya,ru,46.54,138.33,54.72,77.0,24.0,8.52
1184,abha,sa,18.22,42.5,69.8,68.0,0.0,1.92
1185,palmer,us,-34.85,139.16,59.0,41.0,0.0,5.82
1186,kaohsiung,tw,22.62,120.31,87.8,62.0,20.0,8.05
1188,red bluff,us,40.18,-122.24,89.6,13.0,1.0,10.29
1192,camacha,pt,33.08,-16.33,62.6,67.0,75.0,10.29
1194,belmonte,br,40.36,-7.35,47.97,89.0,0.0,6.06
1197,misratah,ly,32.38,15.09,68.68,96.0,32.0,6.96
1198,kupang,id,-10.16,123.6,84.51,75.0,20.0,16.24
1207,hamada,jp,34.9,132.08,71.6,68.0,0.0,5.82
1208,ozinki,ru,51.2,49.73,45.55,49.0,0.0,10.76
1221,dukat,ru,42.44,22.31,52.93,83.0,0.0,2.48
1225,inuvik,ca,68.36,-133.71,62.6,45.0,75.0,10.29
1227,sabha,ly,27.03,14.43,89.2,18.0,92.0,2.59
1230,young,au,-32.7,-57.63,45.19,91.0,0.0,12.1
1234,barinas,ve,8.64,-70.23,77.68,83.0,44.0,2.71
1240,houma,us,35.63,111.36,73.98,59.0,0.0,3.04
1243,harper,lr,30.3,-99.24,93.2,35.0,1.0,10.29
1246,carutapera,br,-1.2,-46.02,77.5,93.0,92.0,6.4
1247,udachnyy,ru,66.42,112.4,44.91,64.0,0.0,5.06
1249,sukhoy log,ru,56.9,62.03,39.42,58.0,0.0,7.52
1260,salinas,ec,36.67,-121.66,75.2,38.0,1.0,12.75
1267,fujin,cn,47.24,132.03,73.0,83.0,48.0,15.68
1273,san quintin,mx,17.54,120.52,91.4,66.0,20.0,6.93
1280,christiana,za,-27.91,25.16,30.7,67.0,0.0,4.38
1283,oskarshamn,se,57.26,16.44,46.4,100.0,0.0,2.15
1284,yatou,cn,3.63,9.81,73.4,100.0,75.0,4.7
1285,maldonado,uy,-34.91,-54.96,53.6,71.0,90.0,17.22
1287,katangli,ru,51.71,143.23,47.26,66.0,0.0,3.94
1297,kristianstad,se,56.03,14.16,51.8,100.0,8.0,2.24
1300,rovereto,it,45.89,11.05,64.4,77.0,0.0,1.12
1307,buchmany,ua,51.07,28.04,56.16,44.0,8.0,11.1
1317,bobrovka,ru,52.3,45.54,40.69,58.0,0.0,10.65
1319,muros,es,42.77,-9.06,51.8,100.0,40.0,4.7
1321,waingapu,id,-9.65,120.26,84.6,63.0,36.0,11.54
1327,nagato,jp,34.35,131.14,71.6,83.0,0.0,8.05
1334,maceio,br,-9.67,-35.74,71.6,94.0,20.0,4.7
1335,saint-francois,gp,46.42,3.91,51.8,93.0,20.0,2.24
1342,cibitoke,bi,-2.89,29.12,54.81,88.0,64.0,2.04
1350,katsuura,jp,33.93,134.5,71.6,68.0,20.0,3.36
1359,nampa,us,43.57,-116.56,73.4,33.0,1.0,9.17
1363,kuala selangor,my,3.34,101.25,78.8,94.0,90.0,1.12
1364,srednekolymsk,ru,67.46,153.71,36.81,75.0,88.0,3.38
1367,talcahuano,cl,-36.72,-73.12,42.8,93.0,0.0,3.36
1368,coquimbo,cl,-29.95,-71.34,50.0,81.0,0.0,2.24
1370,recodo,ph,13.03,121.49,80.46,100.0,68.0,3.15
1372,grindavik,is,63.84,-22.43,42.8,100.0,40.0,5.82
1380,shunyi,cn,40.13,116.65,84.2,32.0,0.0,4.47
1391,luanda,ao,-8.83,13.24,74.7,97.0,88.0,4.5
1392,alamosa,us,37.47,-105.87,73.4,14.0,1.0,12.66
1393,homer,us,59.64,-151.54,55.4,58.0,40.0,16.11
1397,kihei,us,20.76,-156.45,84.2,51.0,40.0,19.46
1398,port-gentil,ga,-0.72,8.78,78.21,100.0,88.0,9.53
1400,williamsport,us,41.25,-77,75.2,83.0,90.0,6.93
1407,ginda,er,30.69,78.49,61.3,97.0,8.0,1.48
1411,cayenne,gf,4.94,-52.33,77.0,88.0,90.0,3.36
1413,waipawa,nz,-39.94,176.59,51.85,73.0,64.0,7.74
1422,bend,us,44.06,-121.32,71.6,19.0,1.0,9.17
1424,bulgan,mn,48.81,103.53,44.2,86.0,68.0,11.54
1425,merritt island,us,28.54,-80.67,82.4,88.0,20.0,4.7
1426,nsanje,mw,-16.92,35.26,55.26,85.0,0.0,2.48
1431,kuala kedah,my,6.11,100.29,80.6,88.0,75.0,1.12
1437,bloomfield,us,40.75,-92.42,84.2,51.0,1.0,6.62
1439,san benedetto del tronto,it,42.95,13.88,68.0,88.0,0.0,3.36
1447,ponta delgada,pt,37.73,-25.67,64.4,82.0,20.0,8.05
1450,abu samrah,qa,35.3,37.18,60.48,94.0,8.0,5.95
1470,agirish,ru,61.92,63.02,35.1,96.0,92.0,6.17
1472,isla vista,us,34.41,-119.86,69.8,43.0,1.0,12.75
1480,qixingtai,cn,30.41,111.89,68.14,99.0,92.0,4.16
1485,kaiu,ee,59.01,25.06,55.4,87.0,20.0,3.36
1488,otavi,na,-19.64,17.34,46.08,73.0,0.0,4.5
1489,linhares,br,-19.38,-40.06,66.96,97.0,20.0,2.71
1490,jaguarari,br,-10.26,-40.2,67.69,93.0,8.0,7.52
1497,topsham,us,50.69,-3.47,59.0,93.0,75.0,1.12
1501,inirida,co,3.87,-67.92,72.72,96.0,76.0,1.92
1503,bada,ru,12.41,4.51,74.16,88.0,0.0,5.39
1509,puerto ayacucho,ve,5.66,-67.63,78.8,88.0,40.0,5.82
1510,corning,us,42.14,-77.05,68.0,100.0,20.0,4.7
1513,guaruja,br,-23.99,-46.26,69.8,40.0,0.0,6.93
1514,omsukchan,ru,62.53,155.8,43.47,58.0,36.0,5.17
1517,marabba,sd,12.35,32.18,75.33,86.0,48.0,6.73
1527,freilassing,de,47.84,12.98,60.8,87.0,75.0,8.05
1533,chauk,mm,20.89,94.82,80.1,88.0,64.0,9.98
1540,kautokeino,no,69.01,23.04,45.55,64.0,76.0,5.5
1541,yauya,pe,-8.99,-77.29,42.85,97.0,88.0,1.03
1546,springbok,za,-29.67,17.88,32.95,80.0,20.0,2.71
1549,monteagudo,bo,-19.8,-63.96,41.05,100.0,92.0,2.71
1551,sechura,pe,-5.56,-80.82,68.58,85.0,0.0,9.64
1555,byron bay,au,-28.65,153.62,68.0,40.0,0.0,6.93
1559,verkhnyaya inta,ru,65.99,60.32,34.11,79.0,92.0,6.4
1560,roslavl,ru,53.95,32.86,50.05,63.0,12.0,9.64
1564,tagab,af,34.85,69.65,64.4,31.0,0.0,5.82
1573,beruwala,lk,6.48,79.98,77.76,100.0,80.0,11.21
1574,karakol,kg,42.49,78.39,60.85,33.0,0.0,2.15
1577,port augusta,au,-32.49,137.76,59.0,44.0,20.0,8.05
1579,dzhebariki-khaya,ru,62.22,135.8,56.89,39.0,0.0,11.99
1580,san carlos del zulia,ve,9.0,-71.91,84.16,68.0,56.0,2.15
1582,qingdao,cn,36.09,120.35,73.4,56.0,0.0,11.18
1583,chilliwack,ca,49.17,-121.95,60.8,51.0,75.0,10.29
1585,monrovia,lr,6.33,-10.8,75.2,94.0,75.0,6.93
1597,batagay,ru,67.65,134.64,47.16,89.0,92.0,8.08
1599,atasu,kz,48.68,71.64,68.85,39.0,32.0,9.64
1600,grand-lahou,ci,5.24,-5,75.51,96.0,36.0,3.94
1602,carlton,gb,46.66,-92.42,44.6,70.0,90.0,14.99
1603,araouane,ml,18.9,-3.53,82.45,21.0,24.0,3.15
1606,vikhorevka,ru,56.12,101.17,59.0,58.0,20.0,15.66
1612,alice,za,27.75,-98.07,87.8,83.0,1.0,14.99
1616,hovd,mn,63.83,10.7,48.2,87.0,0.0,8.05
1618,sainte-maxime,fr,43.31,6.64,66.2,93.0,0.0,2.24
1635,faya,td,18.39,42.45,69.8,68.0,0.0,2.71
1636,egvekinot,ru,66.32,-179.17,33.12,94.0,80.0,8.63
1637,boundiali,ci,9.53,-6.48,70.02,98.0,56.0,6.51
1645,pleszew,pl,51.9,17.79,64.35,83.0,20.0,4.72
1652,karpogory,ru,64.0,44.44,39.79,98.0,92.0,3.38
1655,mindelo,cv,41.31,-8.72,59.0,87.0,90.0,8.05
1664,novosibirsk,ru,55.03,82.92,64.4,48.0,0.0,15.66
1665,nowshera,pk,34.02,71.98,78.8,41.0,5.0,4.7
1670,tanete,id,-3.94,119.78,85.32,72.0,36.0,9.08
1685,mfou,cm,3.72,11.64,68.0,100.0,75.0,1.14
1694,las varas,mx,21.18,-105.14,84.2,94.0,90.0,4.7
1705,brownsville,us,25.91,-97.49,86.0,74.0,75.0,16.11
1710,high level,ca,58.52,-117.13,60.8,59.0,75.0,9.17
1713,college,us,64.86,-147.8,62.6,51.0,75.0,4.7
1727,uige,ao,-7.61,15.06,64.18,97.0,8.0,2.15
1728,sumbawanga,tz,-7.95,31.62,67.69,82.0,0.0,10.09
1729,nelson,ca,49.49,-117.29,62.6,63.0,75.0,9.17
1732,wadi musa,jo,30.32,35.48,57.51,91.0,0.0,1.92
1741,atambua,id,-9.11,124.89,84.25,82.0,20.0,10.54
1742,cartagena,co,37.63,-1,53.29,95.0,20.0,1.59
1747,boueni,yt,-12.9,45.08,77.0,83.0,0.0,11.41
1751,sorong,id,-0.86,131.25,82.08,100.0,24.0,2.59
1753,rafina,gr,38.02,24.01,75.2,31.0,0.0,10.29
1754,naze,jp,5.43,7.07,74.97,93.0,44.0,3.71
1755,barra do bugres,br,-15.07,-57.19,70.02,95.0,32.0,9.19
1758,ichhawar,in,23.03,77.02,86.0,48.0,75.0,4.7
1760,heze,cn,35.25,115.45,81.72,59.0,76.0,4.38
1761,tiarei,pf,-17.53,-149.33,82.4,65.0,75.0,14.99
1765,tainan,tw,22.99,120.21,87.8,58.0,40.0,2.24
1766,mikhaylovka,ru,52.96,103.29,60.66,60.0,8.0,7.4
1768,burnie,au,-41.05,145.91,55.71,100.0,0.0,3.15
1769,glendive,us,47.11,-104.71,55.4,100.0,40.0,18.34
1771,gobabis,na,-22.45,18.97,42.04,40.0,0.0,6.4
1772,nome,us,30.04,-94.42,84.2,74.0,40.0,8.05
1776,angoram,pg,-4.06,144.07,85.41,76.0,68.0,2.59
1788,wanaka,nz,-44.7,169.14,34.92,73.0,0.0,2.48
1792,lidkoping,se,58.51,13.16,53.6,100.0,0.0,3.36
1794,kavalerovo,ru,44.27,135.06,73.08,66.0,68.0,3.04
1798,vestmanna,fo,62.16,-7.17,46.4,100.0,90.0,3.36
1801,djibo,bf,14.1,-1.63,77.68,72.0,0.0,4.61
1807,fethiye,tr,36.62,29.12,64.4,77.0,0.0,4.7
1811,dingzhou,cn,38.51,115,80.6,42.0,0.0,4.47
1825,langham,ca,52.36,-106.96,48.2,100.0,90.0,12.75
1826,chengde,cn,40.97,117.93,80.29,48.0,36.0,5.73
1838,yulara,au,-25.24,130.99,62.6,23.0,0.0,12.75
1839,veraval,in,49.65,0.71,59.0,93.0,90.0,4.7
1846,auki,sb,12.18,6.51,71.01,90.0,0.0,3.6
1847,sol-iletsk,ru,51.16,55,42.04,64.0,48.0,12.1
1854,gillette,us,44.29,-105.5,55.26,62.0,32.0,14.12
1855,aykhal,ru,65.95,111.51,43.2,79.0,20.0,7.18
1857,port-cartier,ca,50.03,-66.88,50.0,87.0,75.0,18.34
1864,koumac,nc,-20.56,164.28,75.51,66.0,0.0,2.59
1868,port lincoln,au,-34.72,135.86,61.11,85.0,88.0,11.54
1871,mount isa,au,-20.73,139.49,69.8,19.0,0.0,9.17
1875,cao bang,vn,22.67,106.25,73.44,100.0,100.0,3.6
1878,beaupre,ca,47.04,-70.9,69.8,88.0,75.0,4.7
1879,blackfoot,us,43.19,-112.35,60.8,36.0,20.0,18.34
1887,kirakira,sb,-10.46,161.92,80.46,100.0,88.0,11.77
1891,henderson,us,36.04,-114.98,93.2,8.0,1.0,5.82
1898,yarensk,ru,62.17,49.09,40.95,57.0,80.0,3.71
1899,teluknaga,id,-6.1,106.64,84.2,74.0,20.0,4.7
1903,camacupa,ao,-12.02,17.48,48.25,69.0,0.0,2.93
1907,nouadhibou,mr,20.93,-17.03,68.0,72.0,36.0,18.34
1911,lundazi,zm,-12.29,33.17,60.21,60.0,0.0,10.54
1916,amurzet,ru,47.69,131.09,75.06,86.0,0.0,12.21
1919,matara,lk,-13.74,-72.9,26.65,76.0,0.0,1.92
1920,baghdad,iq,33.3,44.38,75.2,44.0,0.0,6.93
1922,kaduqli,sd,11.01,29.72,71.1,94.0,56.0,2.48
1924,olden,no,61.84,6.81,49.69,73.0,0.0,1.36
1925,nizwa,om,22.93,57.53,82.35,20.0,0.0,2.71
1927,clovis,us,36.83,-119.7,84.2,28.0,1.0,11.41
1928,martigny,ch,46.1,7.07,62.6,67.0,0.0,2.24
1929,waddan,ly,29.16,16.14,74.89,35.0,68.0,10.09
1930,beyneu,kz,45.32,55.19,51.66,36.0,0.0,13.56
1941,saurimo,ao,-9.66,20.4,59.14,42.0,0.0,7.07
1943,zemio,cf,5.02,25.13,69.4,95.0,24.0,2.59
1958,irara,br,-8.52,127.01,82.62,91.0,68.0,14.0
1965,laramie,us,41.31,-105.59,69.8,44.0,40.0,32.21
1975,riwaka,nz,-41.08,173,52.2,89.0,56.0,11.1
1988,poronaysk,ru,49.22,143.1,66.69,61.0,0.0,6.4
1995,haverfordwest,gb,51.8,-4.97,59.0,93.0,92.0,9.17
1997,puerto escondido,mx,15.86,-97.07,77.0,78.0,90.0,11.41
